timbre,midi,note,freq_hz,w_f_db,orig_rms_dbfs,orig_peak_dbfs,ideal_gain_db,applied_gain_db,new_rms_dbfs,new_peak_dbfs,new_perceived_dbfs
acoustic_steel,40,E2,82.41,18.21,-44.58,-32.31,9.78,9.78,-34.80,-22.53,-53.01
acoustic_steel,41,F2,87.31,17.40,-44.79,-32.27,9.18,9.18,-35.61,-23.09,-53.01
acoustic_steel,42,F#2,92.50,16.62,-45.01,-32.32,8.62,8.62,-36.39,-23.70,-53.01
acoustic_steel,43,G2,98.00,15.85,-45.80,-32.27,8.64,8.64,-37.16,-23.63,-53.01
acoustic_steel,44,G#2,103.83,15.10,-49.62,-32.50,11.71,11.71,-37.91,-20.79,-53.01
acoustic_steel,45,A2,110.00,14.37,-49.20,-32.53,10.56,10.56,-38.64,-21.97,-53.01
acoustic_steel,46,A#2,116.54,13.67,-49.82,-32.59,10.48,10.48,-39.34,-22.11,-53.01
acoustic_steel,47,B2,123.47,12.98,-49.94,-32.64,9.91,9.91,-40.03,-22.72,-53.01
acoustic_steel,48,C3,130.81,12.33,-50.38,-32.73,9.70,9.70,-40.68,-23.03,-53.01
acoustic_steel,49,C#3,138.59,11.69,-47.83,-32.26,6.51,6.51,-41.32,-25.74,-53.01
acoustic_steel,50,D3,146.83,11.07,-48.40,-32.27,6.46,6.46,-41.94,-25.81,-53.01
acoustic_steel,51,D#3,155.56,10.46,-48.80,-32.23,6.24,6.24,-42.55,-25.98,-53.01
acoustic_steel,52,E3,164.81,9.85,-48.35,-32.25,5.19,5.19,-43.16,-27.06,-53.01
acoustic_steel,53,F3,174.61,9.25,-48.34,-32.23,4.59,4.59,-43.76,-27.64,-53.01
acoustic_steel,54,F#3,185.00,8.67,-49.56,-32.33,5.22,5.22,-44.34,-27.12,-53.01
acoustic_steel,55,G3,196.00,8.10,-50.03,-32.44,5.12,5.12,-44.91,-27.32,-53.01
acoustic_steel,56,G#3,207.65,7.55,-50.13,-32.40,4.67,4.67,-45.46,-27.73,-53.01
acoustic_steel,57,A3,220.00,7.03,-50.21,-32.39,4.23,4.23,-45.98,-28.16,-53.01
acoustic_steel,58,A#3,233.08,6.52,-50.98,-32.49,4.50,4.50,-46.49,-27.99,-53.01
acoustic_steel,59,B3,246.94,6.03,-51.00,-32.31,4.03,4.03,-46.98,-28.29,-53.01
acoustic_steel,60,C4,261.63,5.56,-51.24,-32.28,3.79,3.79,-47.45,-28.49,-53.01
acoustic_steel,61,C#4,277.18,5.11,-51.74,-32.31,3.84,3.84,-47.90,-28.47,-53.01
acoustic_steel,62,D4,293.66,4.67,-51.86,-32.42,3.52,3.52,-48.34,-28.91,-53.01
acoustic_steel,63,D#4,311.13,4.24,-52.47,-32.46,3.70,3.70,-48.77,-28.76,-53.01
acoustic_steel,64,E4,329.63,3.82,-52.40,-32.50,3.21,3.21,-49.19,-29.29,-53.01
acoustic_steel,65,F4,349.23,3.42,-52.96,-32.68,3.37,3.37,-49.59,-29.31,-53.01
acoustic_steel,66,F#4,369.99,3.04,-52.58,-32.89,2.61,2.61,-49.97,-30.28,-53.01
acoustic_steel,67,G4,392.00,2.69,-53.30,-32.85,2.97,2.97,-50.32,-29.88,-53.01
acoustic_steel,68,G#4,415.30,2.36,-50.77,-32.59,0.12,0.12,-50.65,-32.47,-53.01
acoustic_steel,69,A4,440.00,2.06,-50.89,-32.53,-0.06,-0.06,-50.95,-32.59,-53.01
acoustic_steel,70,A#4,466.16,1.78,-51.71,-32.66,0.48,0.48,-51.23,-32.18,-53.01
acoustic_steel,71,B4,493.88,1.51,-52.98,-32.19,1.48,1.48,-51.50,-30.71,-53.01
acoustic_steel,72,C5,523.25,1.26,-52.56,-32.29,0.81,0.81,-51.76,-31.49,-53.01
acoustic_steel,73,C#5,554.37,1.00,-53.14,-32.31,1.13,1.13,-52.01,-31.18,-53.01
acoustic_steel,74,D5,587.33,0.76,-53.16,-32.20,0.91,0.91,-52.25,-31.29,-53.01
acoustic_steel,75,D#5,622.25,0.54,-53.24,-32.28,0.77,0.77,-52.47,-31.51,-53.01
acoustic_steel,76,E5,659.26,0.32,-55.20,-32.60,2.52,2.52,-52.69,-30.08,-53.01
acoustic_steel,77,F5,698.46,0.13,-56.08,-32.62,3.20,3.20,-52.88,-29.43,-53.01
acoustic_steel,78,F#5,739.99,-0.04,-55.32,-32.70,2.27,2.27,-53.05,-30.43,-53.01
acoustic_steel,79,G5,783.99,-0.19,-56.16,-32.70,2.97,2.97,-53.20,-29.74,-53.01
acoustic_steel,80,G#5,830.61,-0.30,-56.36,-32.68,3.05,3.05,-53.31,-29.63,-53.01
acoustic_steel,81,A5,880.00,-0.35,-56.60,-32.56,3.23,3.23,-53.36,-29.32,-53.01
clean_electric,40,E2,82.41,18.21,-36.51,-21.71,1.71,1.71,-34.80,-20.00,-53.01
clean_electric,41,F2,87.31,17.40,-36.54,-21.67,0.93,0.93,-35.61,-20.74,-53.01
clean_electric,42,F#2,92.50,16.62,-36.87,-22.46,0.48,0.48,-36.39,-21.98,-53.01
clean_electric,43,G2,98.00,15.85,-37.22,-22.57,0.06,0.06,-37.16,-22.51,-53.01
clean_electric,44,G#2,103.83,15.10,-37.43,-22.31,-0.48,-0.48,-37.91,-22.79,-53.01
clean_electric,45,A2,110.00,14.37,-37.55,-24.12,-1.08,-1.08,-38.64,-25.21,-53.01
clean_electric,46,A#2,116.54,13.67,-38.12,-24.78,-1.22,-1.22,-39.34,-26.00,-53.01
clean_electric,47,B2,123.47,12.98,-38.01,-24.06,-2.01,-2.01,-40.03,-26.07,-53.01
clean_electric,48,C3,130.81,12.33,-38.68,-24.62,-2.00,-2.00,-40.68,-26.62,-53.01
clean_electric,49,C#3,138.59,11.69,-38.25,-24.83,-3.07,-3.07,-41.32,-27.89,-53.01
clean_electric,50,D3,146.83,11.07,-38.98,-25.92,-2.96,-2.96,-41.94,-28.88,-53.01
clean_electric,51,D#3,155.56,10.46,-39.74,-26.41,-2.81,-2.81,-42.55,-29.23,-53.01
clean_electric,52,E3,164.81,9.85,-39.59,-26.97,-3.57,-3.57,-43.16,-30.54,-53.01
clean_electric,53,F3,174.61,9.25,-39.83,-26.88,-3.93,-3.93,-43.76,-30.81,-53.01
clean_electric,54,F#3,185.00,8.67,-40.16,-27.31,-4.19,-4.19,-44.34,-31.49,-53.01
clean_electric,55,G3,196.00,8.10,-42.82,-28.20,-2.09,-2.09,-44.91,-30.29,-53.01
clean_electric,56,G#3,207.65,7.55,-43.13,-27.58,-2.33,-2.33,-45.46,-29.91,-53.01
clean_electric,57,A3,220.00,7.03,-43.90,-27.88,-2.09,-2.09,-45.98,-29.96,-53.01
clean_electric,58,A#3,233.08,6.52,-44.73,-27.86,-1.76,-1.76,-46.49,-29.62,-53.01
clean_electric,59,B3,246.94,6.03,-46.24,-27.49,-0.74,-0.74,-46.98,-28.23,-53.01
clean_electric,60,C4,261.63,5.56,-46.91,-27.29,-0.54,-0.54,-47.45,-27.83,-53.01
clean_electric,61,C#4,277.18,5.11,-47.38,-27.49,-0.52,-0.52,-47.90,-28.01,-53.01
clean_electric,62,D4,293.66,4.67,-47.55,-27.75,-0.79,-0.79,-48.34,-28.54,-53.01
clean_electric,63,D#4,311.13,4.24,-48.05,-27.30,-0.72,-0.72,-48.77,-28.02,-53.01
clean_electric,64,E4,329.63,3.82,-48.93,-28.94,-0.26,-0.26,-49.19,-29.19,-53.01
clean_electric,65,F4,349.23,3.42,-48.75,-28.64,-0.83,-0.83,-49.59,-29.47,-53.01
clean_electric,66,F#4,369.99,3.04,-47.31,-28.81,-2.66,-2.66,-49.97,-31.46,-53.01
clean_electric,67,G4,392.00,2.69,-47.67,-28.86,-2.66,-2.66,-50.32,-31.52,-53.01
clean_electric,68,G#4,415.30,2.36,-48.08,-28.71,-2.58,-2.58,-50.65,-31.29,-53.01
clean_electric,69,A4,440.00,2.06,-48.02,-28.36,-2.93,-2.93,-50.95,-31.28,-53.01
clean_electric,70,A#4,466.16,1.78,-46.67,-29.50,-4.56,-4.56,-51.23,-34.06,-53.01
clean_electric,71,B4,493.88,1.51,-46.51,-29.16,-4.98,-4.98,-51.50,-34.15,-53.01
clean_electric,72,C5,523.25,1.26,-45.34,-29.28,-6.42,-6.42,-51.76,-35.70,-53.01
clean_electric,73,C#5,554.37,1.00,-45.53,-29.61,-6.48,-6.48,-52.01,-36.08,-53.01
clean_electric,74,D5,587.33,0.76,-45.91,-29.39,-6.34,-6.34,-52.25,-35.73,-53.01
clean_electric,75,D#5,622.25,0.54,-45.62,-29.17,-6.85,-6.85,-52.47,-36.02,-53.01
clean_electric,76,E5,659.26,0.32,-46.07,-29.26,-6.62,-6.62,-52.69,-35.88,-53.01
clean_electric,77,F5,698.46,0.13,-47.26,-27.41,-5.62,-5.62,-52.88,-33.02,-53.01
clean_electric,78,F#5,739.99,-0.04,-46.88,-27.42,-6.17,-6.17,-53.05,-33.59,-53.01
clean_electric,79,G5,783.99,-0.19,-47.99,-27.44,-5.21,-5.21,-53.20,-32.65,-53.01
clean_electric,80,G#5,830.61,-0.30,-48.51,-27.74,-4.80,-4.80,-53.31,-32.54,-53.01
clean_electric,81,A5,880.00,-0.35,-48.72,-28.10,-4.64,-4.64,-53.36,-32.74,-53.01
overdrive,40,E2,82.41,18.21,-40.35,-30.57,5.55,5.55,-34.80,-25.02,-53.01
overdrive,41,F2,87.31,17.40,-40.25,-30.27,4.64,4.64,-35.61,-25.63,-53.01
overdrive,42,F#2,92.50,16.62,-39.99,-30.45,3.59,3.59,-36.39,-26.86,-53.01
overdrive,43,G2,98.00,15.85,-40.24,-30.33,3.08,3.08,-37.16,-27.25,-53.01
overdrive,44,G#2,103.83,15.10,-45.71,-32.39,7.80,7.80,-37.91,-24.59,-53.01
overdrive,45,A2,110.00,14.37,-45.44,-32.28,6.81,6.81,-38.64,-25.47,-53.01
overdrive,46,A#2,116.54,13.67,-45.87,-32.03,6.53,6.53,-39.34,-25.50,-53.01
overdrive,47,B2,123.47,12.98,-45.91,-32.06,5.89,5.89,-40.03,-26.18,-53.01
overdrive,48,C3,130.81,12.33,-46.00,-32.03,5.32,5.32,-40.68,-26.71,-53.01
overdrive,49,C#3,138.59,11.69,-44.28,-32.87,2.96,2.96,-41.32,-29.91,-53.01
overdrive,50,D3,146.83,11.07,-44.55,-32.88,2.60,2.60,-41.94,-30.27,-53.01
overdrive,51,D#3,155.56,10.46,-44.62,-32.77,2.06,2.06,-42.55,-30.71,-53.01
overdrive,52,E3,164.81,9.85,-44.39,-32.56,1.23,1.23,-43.16,-31.32,-53.01
overdrive,53,F3,174.61,9.25,-44.49,-32.73,0.74,0.74,-43.76,-31.99,-53.01
overdrive,54,F#3,185.00,8.67,-45.93,-33.58,1.59,1.59,-44.34,-31.99,-53.01
overdrive,55,G3,196.00,8.10,-46.07,-33.42,1.16,1.16,-44.91,-32.26,-53.01
overdrive,56,G#3,207.65,7.55,-46.23,-33.43,0.77,0.77,-45.46,-32.66,-53.01
overdrive,57,A3,220.00,7.03,-46.25,-33.38,0.27,0.27,-45.98,-33.11,-53.01
overdrive,58,A#3,233.08,6.52,-44.25,-32.83,-2.24,-2.24,-46.49,-35.07,-53.01
overdrive,59,B3,246.94,6.03,-44.34,-33.04,-2.63,-2.63,-46.98,-35.68,-53.01
overdrive,60,C4,261.63,5.56,-44.42,-33.00,-3.03,-3.03,-47.45,-36.02,-53.01
overdrive,61,C#4,277.18,5.11,-43.35,-33.04,-4.55,-4.55,-47.90,-37.60,-53.01
overdrive,62,D4,293.66,4.67,-43.47,-33.11,-4.87,-4.87,-48.34,-37.99,-53.01
overdrive,63,D#4,311.13,4.24,-43.75,-33.04,-5.02,-5.02,-48.77,-38.07,-53.01
overdrive,64,E4,329.63,3.82,-43.68,-33.10,-5.51,-5.51,-49.19,-38.61,-53.01
overdrive,65,F4,349.23,3.42,-43.76,-32.82,-5.83,-5.83,-49.59,-38.65,-53.01
overdrive,66,F#4,369.99,3.04,-42.68,-32.83,-7.29,-7.29,-49.97,-40.12,-53.01
overdrive,67,G4,392.00,2.69,-42.93,-32.81,-7.40,-7.40,-50.32,-40.20,-53.01
overdrive,68,G#4,415.30,2.36,-43.23,-32.92,-7.42,-7.42,-50.65,-40.35,-53.01
overdrive,69,A4,440.00,2.06,-43.22,-32.77,-7.73,-7.73,-50.95,-40.50,-53.01
overdrive,70,A#4,466.16,1.78,-44.42,-33.13,-6.81,-6.81,-51.23,-39.94,-53.01
overdrive,71,B4,493.88,1.51,-44.43,-32.98,-7.07,-7.07,-51.50,-40.05,-53.01
overdrive,72,C5,523.25,1.26,-44.68,-32.92,-7.07,-7.07,-51.76,-40.00,-53.01
overdrive,73,C#5,554.37,1.00,-43.38,-32.81,-8.63,-8.63,-52.01,-41.44,-53.01
overdrive,74,D5,587.33,0.76,-43.56,-33.13,-8.69,-8.69,-52.25,-41.81,-53.01
overdrive,75,D#5,622.25,0.54,-43.74,-33.30,-8.73,-8.73,-52.47,-42.03,-53.01
overdrive,76,E5,659.26,0.32,-43.93,-32.98,-8.75,-8.75,-52.69,-41.74,-53.01
overdrive,77,F5,698.46,0.13,-44.10,-33.65,-8.78,-8.78,-52.88,-42.43,-53.01
overdrive,78,F#5,739.99,-0.04,-43.62,-33.22,-9.43,-9.43,-53.05,-42.66,-53.01
overdrive,79,G5,783.99,-0.19,-44.25,-33.60,-8.95,-8.95,-53.20,-42.54,-53.01
overdrive,80,G#5,830.61,-0.30,-44.09,-32.80,-9.22,-9.22,-53.31,-42.01,-53.01
overdrive,81,A5,880.00,-0.35,-44.30,-32.80,-9.07,-9.07,-53.36,-41.86,-53.01
